Date,Time,Restaurant,Meal,Food Item,Weight (lbs),Reason for Waste,Disposal Method,Donation Destination
01-02-2023,12:00 PM,The Green Table,Lunch,Roasted Vegetables,1.2,Overproduction,Composting,City Food Bankk
01-02-2023,12:00 PM,The Green Table,Lunch,Chicken Caesar Salad,0.8,Plate Waste,Trash,City Food Bank
01-02-2023,12:00 PM,The Green Table,Lunch,Garlic Bread,0.3,Expired Food,Trash,N/A
01-02-2023,12:00 PM,The Green Table,Lunch,Brownie,0.2,Overproduction,Composting,N/A
01-02-2023,12:00 PM,The Green Table,Lunch,Lemonade,0.4,Overproduction,Trash,N/A
01-02-2023,4:00 PM,The Green Table,Dinner,Grilled Steak,0.6,Plate Waste,Trash,N/A
01-02-2023,4:00 PM,The Green Table,Dinner,Mashed Potatoes,0.3,Overproduction,Trash,N/A
01-02-2023,4:00 PM,The Green Table,Dinner,Mixed Vegetables,0.7,Plate Waste,Trash,N/A
02-02-2023,9:00 AM,The Red Spoon,Breakfast,Omelette,0.5,Plate Waste,Composting,N/A
02-02-2023,9:00 AM,The Red Spoon,Breakfast,Toast,0.2,Overproduction,Composting,City Food Bank
02-02-2023,9:00 AM,The Red Spoon,Breakfast,Coffee,0.1,Overproduction,Trash,N/A
02-02-2023,1:00 PM,The Blue Plate,Lunch,Chicken Stir-Fry,1,Overproduction,Trash,N/A
02-02-2023,1:00 PM,The Blue Plate,Lunch,Brown Rice,0.4,Plate Waste,Composting,City Food Bank
02-02-2023,1:00 PM,The Blue Plate,Lunch,Vegetable Soup,0.6,Overproduction,Composting,N/A
02-02-2023,6:30 PM,The Blue Plate,Dinner,Seared Tuna,0.4,Plate Waste,Composting,N/A
01-02-2023,12:00 PM,The Grilled Cheese,Lunch,Classic Grilled Cheese,0.2,Plate Waste,Composting,N/A
01-02-2023,12:00 PM,The Grilled Cheese,Lunch,Tomato Soup,0.3,Overproduction,Composting,N/A
01-02-2023,12:00 PM,The Grilled Cheese,Lunch,Caesar Salad,0.1,Expired Food,Trash,N/A
01-02-2023,12:00 PM,The Grilled Cheese,Lunch,Brownie,0.4,Overproduction,Composting,N/A
01-02-2023,12:00 PM,The Grilled Cheese,Lunch,Lemonade,0.5,Overproduction,Composting,N/A
01-02-2023,4:00 PM,The Grilled Cheese,Dinner,Caprese Sandwich,0.2,Plate Waste,Composting,N/A
