Household ID,Date,Time,Weight (lbs),Type of Waste,Reason for Waste,Source of Waste,Disposal Method,Donated,Destination of Donated Food
1001,01-01-2022,10:00am,3.5,Fruits,Spoiled,Fridge,Composted,No,N/A
1001,07-01-2022,5:00pm,2,Vegetables,Excess,Meal prep,Composted,No,N/A
1001,14-01-2022,9:00am,1.2,Dairy,Expired,Pantry,Landfill,No,N/A
1002,21-01-2022,1:00pm,0.5,Meat,Not consumed,Plate waste,Garbage disposal,No,N/A
1002,28-01-2022,6:00pm,1.8,Bread,Excess,Meal prep,Donated,Food bank,N/A
1003,05-02-2022,7:00pm,1.5,Vegetables,Excess,Meal prep,Composted,No,N/A
1003,12-02-2022,10:00am,0.8,Fruits,Spoiled,Fridge,Composted,No,N/A
1003,19-02-2022,3:00pm,2.2,Meat,Expired,Fridge,Garbage disposal,No,N/A
1004,26-02-2022,11:00am,0.3,Grains,Not consumed,Plate waste,Garbage disposal,No,N/A
1004,05-03-2022,6:00pm,1,Dairy,Excess,Pantry,Donated,Charity,
1005,12-03-2022,9:00am,1.5,Bread,Expired,Pantry,Composted,No,N/A
1005,19-03-2022,2:00pm,0.6,Fruits,Spoiled,Fridge,Composted,No,N/A
1006,26-03-2022,4:00pm,0.4,Vegetables,Not consumed,Plate waste,Composted,No,N/A
1007,02-04-2022,8:00am,1.2,Fruits,Excess,Fridge,Composted,No,N/A
1007,09-04-2022,1:00pm,0.5,Vegetables,Spoiled,Pantry,Composted,No,N/A
1007,16-04-2022,5:00pm,2.5,Meat,Excess,Meal prep,Garbage disposal,No,N/A
1008,23-04-2022,9:00am,0.8,Grains,Not consumed,Plate waste,Composted,No,N/A
1008,30-04-2022,2:00pm,1.3,Dairy,Expired,Fridge,Donated,Shelter,
1009,07-05-2022,11:00am,1,Bread,Excess,Meal prep,Composted,No,N/A
1009,14-05-2022,4:00pm,1.2,Fruits,Spoiled,Fridge,Composted,No,N/A
1010,21-05-2022,7:00pm,0.4,Vegetables,Not consumed,Plate waste,Composted,No,N/A
1010,21-05-2022,7:00pm,0.4,Vegetables,Not consumed,Plate waste,Composted,No,N/A
1011,04-06-2022,10:00am,0.6,Fruits,Excess,Meal prep,Composted,No,N/A
1011,11-06-2022,3:00pm,0.9,Vegetables,Spoiled,Fridge,Composted,No,N/A
1011,18-06-2022,6:00pm,1.8,Meat,Expired,Fridge,Garbage disposal,No,N/A
1012,25-06-2022,12:00pm,0.2,Grains,Not consumed,Plate waste,Composted,No,N/A
1012,02-07-2022,5:00pm,1.5,Dairy,Excess,Pantry,Donated,Food bank,
1013,09-07-2022,8:00am,1.2,Bread,Excess,Meal prep,Composted,No,N/A
1013,16-07-2022,1:00pm,1.4,Fruits,Spoiled,Fridge,Composted,No,N/A
1014,23-07-2022,4:00pm,0.3,Vegetables,Not consumed,Plate waste,Composted,No,N/A
1014,30-07-2022,11:00am,1.1,Meat,Expired,Fridge,Donated,Soup kitchen,N/A
,,,,,,,,,
1015,06-08-2022,2:00pm,1.2,Meat,Spoiled,Fridge,Composted,No,N/A
1015,13-08-2022,11:00am,0.5,Fruits,Excess,Meal prep,Garbage disposal,No,N/A
1016,20-08-2022,4:00pm,1.1,Vegetables,Expired,Fridge,Composted,No,N/A
1016,27-08-2022,9:00am,0.3,Grains,Not consumed,Plate waste,Composted,No,N/A
1017,03-09-2022,12:00pm,1.5,Dairy,Spoiled,Fridge,Composted,No,N/A
1017,10-09-2022,5:00pm,0.8,Bread,Excess,Pantry,Donated,Food bank,
1018,17-09-2022,8:00am,0.9,Meat,Expired,Fridge,Garbage disposal,No,N/A
1018,24-09-2022,1:00pm,1.3,Fruits,Spoiled,Fridge,Composted,No,N/A
1019,01-10-2022,4:00pm,0.7,Vegetables,Not consumed,Plate waste,Composted,No,N/A
1019,08-10-2022,11:00am,1.4,Meat,Excess,Meal prep,Donated,Soup kitchen,N/A
1020,01-01-2023,10:00am,0.4,Meat,Expired,Fridge,Garbage disposal,No,N/A
1020,08-01-2023,1:00pm,1.1,Vegetables,Not consumed,Plate waste,Composted,No,N/A
1021,15-01-2023,4:00pm,0.6,Fruits,Spoiled,Fridge,Composted,No,N/A
1021,22-01-2023,11:00am,0.8,Dairy,Excess,Meal prep,Donated,Food bank,
1022,29-01-2023,8:00am,1.2,Meat,Spoiled,Fridge,Composted,No,N/A
1022,05-02-2023,5:00pm,0.5,Grains,Not consumed,Plate waste,Composted,No,N/A
1023,12-02-2023,12:00pm,1.3,Vegetables,Expired,Fridge,Garbage disposal,No,N/A
1023,19-02-2023,4:00pm,0.7,Bread,Excess,Pantry,Donated,Soup kitchen,N/A
1024,26-02-2023,9:00am,1.1,Meat,Excess,Meal prep,Donated,Food bank,N/A
1024,04-03-2023,2:00pm,0.3,Fruits,Spoiled,Fridge,Composted,No,N/A
